LECROYWR640Zi,0,Waveform
Segments,1,SegmentSize,12502
Segment,TrigTime,TimeSinceSegment1
#1,17-Jan-2018 19:34:01,0                 
Time,Ampl
0.0001242071,3.09437
0.0001242471,3.42646
0.0001242871,3.75855
0.0001243271,3.75855
0.0001243671,3.09437
0.0001244071,3.42646
0.0001244471,3.42646
0.0001244871,3.42646
0.0001245271,3.09437
0.0001245671,3.75855
0.0001246071,3.42646
0.0001246471,3.42646
0.0001246871,3.09437
0.0001247271,3.75855
0.0001247671,3.75855
0.0001248071,3.75855
0.0001248471,3.09437
0.0001248871,4.09065
0.0001249271,3.75855
0.0001249671,3.42646
0.0001250071,3.75855
0.0001250471,3.42646
0.0001250871,3.42646
0.0001251271,3.42646
0.0001251671,3.09437
0.0001252071,3.42646
0.0001252471,3.42646
0.0001252871,3.42646
0.0001253271,2.76227
0.0001253671,3.75855
0.0001254071,3.42646
0.0001254471,3.42646
0.0001254871,3.09437
0.0001255271,3.42646
0.0001255671,3.09437
0.0001256071,3.75855
0.0001256471,2.43018
0.0001256871,3.75855
0.0001257271,3.75855
0.0001257671,3.42646
0.0001258071,3.09437
0.0001258471,3.42646
0.0001258871,3.75855
0.0001259271,3.42646
0.0001259671,2.43018
0.0001260071,3.42646
0.0001260471,3.42646
0.0001260871,3.42646
0.0001261271,3.09437
0.0001261671,3.42646
0.0001262071,3.75855
0.0001262471,3.09437
0.0001262871,3.09437
0.0001263271,3.42646
0.0001263671,3.42646
0.0001264071,3.42646
0.0001264471,3.09437
0.0001264871,3.42646
0.0001265271,3.09437
0.0001265671,3.09437
0.0001266071,3.09437
0.0001266471,3.75855
0.0001266871,3.75855
0.0001267271,3.42646
0.0001267671,3.09437
0.0001268071,3.42646
0.0001268471,3.42646
0.0001268871,3.09437
0.0001269271,3.09437
0.0001269671,3.09437
0.0001270071,3.09437
0.0001270471,3.09437
0.0001270871,3.09437
0.0001271271,3.42646
0.0001271671,3.09437
0.0001272071,3.09437
0.0001272471,2.43018
0.0001272871,3.42646
0.0001273271,3.42646
0.0001273671,3.75855
0.0001274071,2.76227
0.0001274471,3.42646
0.0001274871,3.09437
0.0001275271,3.42646
0.0001275671,2.76227
0.0001276071,3.42646
0.0001276471,3.09437
0.0001276871,3.42646
0.0001277271,3.09437
0.0001277671,3.42646
0.0001278071,3.09437
0.0001278471,3.75855
0.0001278871,3.09437
0.0001279271,3.09437
0.0001279671,3.09437
0.0001280071,3.42646
0.0001280471,2.76227
0.0001280871,3.42646
0.0001281271,3.09437
0.0001281671,3.42646
0.0001282071,3.09437
0.0001282471,3.75855
0.0001282871,3.09437
0.0001283271,3.09437
0.0001283671,2.43018
0.0001284071,3.09437
0.0001284471,3.09437
0.0001284871,3.09437
0.0001285271,2.76227
0.0001285671,2.76227
0.0001286071,3.09437
0.0001286471,3.42646
0.0001286871,2.43018
0.0001287271,3.09437
0.0001287671,3.09437
0.0001288071,3.09437
0.0001288471,2.76227
0.0001288871,3.42646
0.0001289271,3.09437
0.0001289671,3.09437
0.0001290071,2.76227
0.0001290471,3.09437
0.0001290871,3.09437
0.0001291271,3.09437
0.0001291671,3.09437
0.0001292071,3.42646
0.0001292471,3.09437
0.0001292871,3.42646
0.0001293271,2.76227
0.0001293671,3.09437
0.0001294071,3.09437
0.0001294471,3.09437
0.0001294871,3.09437
0.0001295271,3.09437
0.0001295671,2.76227
0.0001296071,3.09437
0.0001296471,3.09437
0.0001296871,3.09437
0.0001297271,3.42646
0.0001297671,3.09437
0.0001298071,2.43018
0.0001298471,3.09437
0.0001298871,3.09437
0.0001299271,3.09437
0.0001299671,2.43018
0.0001300071,2.43018
0.0001300471,2.76227
0.0001300871,3.09437
0.0001301271,3.09437
0.0001301671,2.76227
0.0001302071,3.09437
0.0001302471,2.76227
0.0001302871,2.76227
0.0001303271,3.09437
0.0001303671,3.09437
0.0001304071,3.09437
0.0001304471,2.09809
0.0001304871,3.09437
0.0001305271,3.09437
0.0001305671,3.09437
0.0001306071,2.43018
0.0001306471,3.09437
0.0001306871,3.09437
0.0001307271,3.09437
0.0001307671,2.76227
0.0001308071,3.09437
0.0001308471,3.09437
0.0001308871,3.09437
0.0001309271,2.76227
0.0001309671,2.76227
0.0001310071,3.09437
0.0001310471,3.09437
0.0001310871,2.09809
0.0001311271,2.43018
0.0001311671,2.76227
0.0001312071,3.42646
0.0001312471,2.76227
0.0001312871,3.09437
0.0001313271,3.42646
0.0001313671,3.09437
0.0001314071,2.09809
0.0001314471,3.09437
0.0001314871,3.09437
0.0001315271,3.09437
0.0001315671,2.43018
0.0001316071,3.09437
0.0001316471,2.76227
0.0001316871,3.09437
0.0001317271,2.43018
0.0001317671,3.42646
0.0001318071,2.76227
0.0001318471,3.09437
0.0001318871,2.76227
0.0001319271,3.09437
0.0001319671,2.76227
0.0001320071,3.09437
0.0001320471,2.76227
0.0001320871,3.09437
0.0001321271,2.76227
0.0001321671,3.09437
0.0001322071,2.43018
0.0001322471,3.09437
0.0001322871,3.09437
0.0001323271,3.09437
0.0001323671,2.43018
0.0001324071,3.09437
0.0001324471,2.43018
0.0001324871,2.43018
0.0001325271,2.76227
0.0001325671,3.09437
0.0001326071,3.09437
0.0001326471,2.76227
0.0001326871,2.43018
0.0001327271,2.76227
